Film,Year,IMDB LINK,Location Display Text,GEO_ID
Godspell,1973,http://www.imdb.com/title/tt0070121/,World Trade Center Lower Manhattan,61
Godspell,1973,http://www.imdb.com/title/tt0070121/,Times Square Manhattan,62
Godspell,1973,http://www.imdb.com/title/tt0070121/,Lincoln Center Upper West Side Manhattan,63
Godspell,1973,http://www.imdb.com/title/tt0070121/,Lincoln Center Plaza Upper West Side Manhattan,64
Godspell,1973,http://www.imdb.com/title/tt0070121/,Bethesda Fountain Central Park Manhattan,65
Godspell,1973,http://www.imdb.com/title/tt0070121/,Ramble Central Park Manhattan,66
Godspell,1973,http://www.imdb.com/title/tt0070121/,Under Triboro Bridge Randalls Island,67
Godspell,1973,http://www.imdb.com/title/tt0070121/,Soldiers and Sailor's Monument Riverside Park (at 89th St.) Manhattan,68
Godzilla,1988,http://www.imdb.com/title/tt0120685/,Madison Square Garden Midtown Manhattan,69
Goodfellas,1990,http://imdb.com/title/tt0099685/,24-13 32nd St. Astoria Queens,70
Green Card,1990,http://www.imdb.com/title/tt0099699/,W. 76th St & Columbus Upper West Side Manhattan,71
Greetings,1968,http://www.imdb.com/title/tt0063036/,39 Whitehall St. Lower Manhattan,72
Hair,1979,http://www.imdb.com/title/tt0079261/,Sheep's Meadow Central Park Manhattan,73
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,Spring St. and Green St. SoHo Manhattan,74
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,W. 95th St. and West End Ave. Upper West Side Manhattan,75
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,Metro Theatre (2626 Broadway) Upper West Side Manhattan,76
Heights,2005,http://imdb.com/title/tt0382073/,Municipal Building 1 Centre St. Lower Manhattan,77
Hitch,2005,http://www.imdb.com/title/tt0386588/,Spring St. and Greene St. SoHo Manhattan,78
Hudson Hawk,1991,http://www.imdb.com/title/tt0102070/,Brooklyn Bridge,79
I Like It Like That,1994,http://www.imdb.com/title/tt0110091/,170th St. in Morrisania The Bronx,80
I Shot Andy Warhol,1996,http://www.imdb.com/title/tt0116594/,W. 20th St.  Chelsea Manhattan,81
Inside Man,2006,http://imdb.com/title/tt0454848/,William St. and Wall St. Lower Manhattan,82
It Could Happen to You,1994,http://www.imdb.com/title/tt0110167/,W. Broadway and N. Moore St. TriBeCa Manhattan,83
Jeremy,1973,http://www.imdb.com/title/tt0070238/,Central Park Manhattan,84
Jumpin' at the Boneyard,1992,http://imdb.com/title/tt0102174/,Burned-out blocks in the Bronx,85
Jungle Fever,1991,http://www.imdb.com/title/tt0102175/,Bensonhurst Brooklyn,86
Jungle Fever,1991,,Strivers' Row Harlem Manhattan,87
Kids,1995,http://www.imdb.com/title/tt0113540/,Washington Square Park West Village Manhattan,88
Killer's Kiss,1957,http://imdb.com/title/tt0048254/,Rooftops Lower Manhattan,89
King Kong,1976,http://www.imdb.com/title/tt0074751/,World Trade Center Lower Manhattan,90
Kissing Jessica Stein,2001,http://www.imdb.com/title/tt0264761/,E. 6th St. East Village Manhattan,91
Klute,1971,http://www.imdb.com/title/tt0067309/,World Trade Center Lower Manhattan,92
Klute,1971,http://www.imdb.com/title/tt0067309/,Hell's Kitchen Ninth Ave. Manhattan,93
Klute,1971,http://www.imdb.com/title/tt0067309/,123rd St. Harlem Manhattan,94
Kojak,1973-1978,http://imdb.com/title/tt0069599/,60 Baxter St. Lower Manhattan,95
Kojak,1973-1978,http://imdb.com/title/tt0069599/,Lincoln Center Upper West Side Manhattan,96
Kramer vs. Kramer,1979,http://www.imdb.com/title/tt0079417/,P.S. 6 (45 E. 81st St.) Upper East Side Manhattan,97
Law & Order,1988- Today,http://imdb.com/title/tt0098844/,Worth St. Lower Manhattan,98
Little Fugitive,1953,http://imdb.com/title/tt0046004/,Coney Island Brooklyn,99
Little Manhattan,2005,http://www.imdb.com/title/tt0412922/,Christopher St. Station Sheridan Square Manhattan,100
LUV,1967,http://www.imdb.com/title/tt0061927/,Manhattan Bridge Brooklyn,101
